feature,ks_stat,p_value,ks_null_floor,degradation_ratio,matches_legit
account_age_days,0.765232216086172,6.676060282263666e-305,0.0242,31.63,False
amount_to_avg_ratio,0.6194032478539012,2.650700581382339e-184,0.0282,21.99,False
amount,0.608075783257696,8.072611181827263e-177,0.039,15.58,False
channel_code,0.48153261523320023,1.5214201361796533e-106,0.0199,24.24,False
time_since_last_txn_min,0.4031645251243917,1.8302935453235476e-73,0.0331,12.17,False
is_new_beneficiary,0.24373875006834705,1.7589072166159615e-26,0.0177,13.8,False
linkage_c13,0.19969610148176498,7.574715305438224e-18,0.0242,8.25,False
hour,0.17555514243534362,7.221821876638847e-14,0.0319,5.51,False
velocity_24h,0.1307763136311444,7.162313473863117e-08,0.0233,5.6,False
linkage_c2,0.1027788288041992,5.038799981139274e-05,0.0242,4.25,False
velocity_1h,0.09896221772650227,0.0001089417488073019,0.0158,6.28,False
merchant_risk,0.08292405270927883,0.002019715928018559,0.0242,3.43,False
linkage_c9,0.07791382798403412,0.004523434570726438,0.0242,3.22,False
linkage_c6,0.06870916944611516,0.017454241389094443,0.0242,2.84,False
day_of_week,0.068645743342993,0.017607044681242752,0.0299,2.29,False
linkage_c7,0.06701711411230804,0.02196302398884317,0.0242,2.77,False
linkage_c1,0.0643422822461589,0.031215654366108736,0.0242,2.66,False
linkage_c14,0.0609737000382744,0.04762292511105082,0.0242,2.52,False
linkage_c11,0.04555623598884573,0.2460944563437779,0.0242,1.88,True
linkage_c4,0.04236568429110399,0.32516208053841467,0.0242,1.75,True
linkage_c8,0.03349510634807806,0.6203455110125289,0.0242,1.38,True
linkage_c12,0.031510306741757255,0.6948851712122784,0.0242,1.3,True
linkage_c10,0.0273199190770409,0.8419508963198592,0.0242,1.13,True
linkage_c5,0.024850893979987965,0.9110647092605381,0.0242,1.03,True
linkage_c3,0.006657006944064792,1.0,0.0242,0.28,True
is_cross_border,0.005686478210946477,1.0,0.0028,2.0,False
