iteration,vector,recall,recall_at_threshold_0.5
0,autopay_mandate,0.0,0.0
0,bustout,0.0,0.0
0,card_testing,0.0,0.0
0,mule_fanout,0.0,0.008
0,threshold_hugging,0.0,0.0
0,upi_collect,0.0,0.0
1,autopay_mandate,0.306,0.566
1,bustout,0.514,0.8
1,card_testing,0.754,0.932
1,mule_fanout,0.698,0.88
1,threshold_hugging,0.282,0.554
1,upi_collect,0.632,0.866
2,autopay_mandate,0.456,0.702
2,bustout,0.712,0.898
2,card_testing,0.87,0.976
2,mule_fanout,0.806,0.91
2,threshold_hugging,0.446,0.682
2,upi_collect,0.774,0.918
3,autopay_mandate,0.5,0.74
3,bustout,0.768,0.936
3,card_testing,0.928,0.982
3,mule_fanout,0.81,0.928
3,threshold_hugging,0.46,0.724
3,upi_collect,0.808,0.948
4,autopay_mandate,0.532,0.794
4,bustout,0.808,0.962
4,card_testing,0.94,0.982
4,mule_fanout,0.822,0.93
4,threshold_hugging,0.436,0.762
4,upi_collect,0.814,0.962
5,autopay_mandate,0.6,0.802
5,bustout,0.868,0.966
5,card_testing,0.954,0.984
5,mule_fanout,0.864,0.926
5,threshold_hugging,0.558,0.772
5,upi_collect,0.85,0.97
6,autopay_mandate,0.616,0.828
6,bustout,0.896,0.984
6,card_testing,0.97,0.986
6,mule_fanout,0.878,0.942
6,threshold_hugging,0.558,0.788
6,upi_collect,0.878,0.972
7,autopay_mandate,0.654,0.818
7,bustout,0.898,0.984
7,card_testing,0.97,0.99
7,mule_fanout,0.878,0.94
7,threshold_hugging,0.538,0.814
7,upi_collect,0.876,0.974
8,autopay_mandate,0.628,0.832
8,bustout,0.892,0.984
8,card_testing,0.972,0.988
8,mule_fanout,0.866,0.95
8,threshold_hugging,0.542,0.822
8,upi_collect,0.876,0.978
